No.,Trade Test Centre,Accreditation Number,SAQA ID,Trade Title,Physical Address,Contact No,Email Address,Contact Person,Start Date,End Date
,Adcorp Technical Training,QCTOASC00210726-2534,94020,Occupational Certificate: Fitter and Turner,Jan Hofmeyer Road Welkom 9459,051 010 0104,enidb@pmi-sa.co.za,Ricky White,09-Jun-22,08-Jun-27
,Admoglo (Pty) Ltd,09-QCTO/AC-TTC150224121556,91761,Occupational Certificate: Electrician,"22 A Natrium Street, Ladine Polokwane
Limpopo 0699",836486077,ferdinand@thorncastle.co.za info@admoglo.co.za,Ferdinand Landman,15-Feb-24,14-Feb-29
,Admoglo (Pty) Ltd,09-QCTO/AC-TTC070324204704,94100,Occupational Certificate: Welder    ,"22 A Natrium Street, Ladine
Polokwane Limpopo 0699",836486077,ferdinand@thorncastle.co.za info@admoglo.co.za,Ferdinand Landman,07-Mar-24,06-Mar-29
,ADP Electrical and Training (Pty) Ltd,07-QCTO/AC-TTC020324172909,91761,Occupational Certificate: Electrician,"Unit 11, Biz Afrika Park, 217 Fakkel Street
Silverton Gauteng 0184",123359696,info@adptraining.co.za,Muyaya Tshiowa,01-Mar-24,28-Feb-29
,Africa International Training Facilities (Pty) Ltd,07-QCTO/AC-TTC081222153140,91761,Occupational Certificate: Electrician,"234 Second Avenue, Bredell, Kempton Park Gauteng 1619",074 756 7346,admin@aitf.co.za,Belina Baiwa,08-Dec-22,07-Dec-27
,Africa International Training Facilities (Pty) Ltd,AC-TTC140923135028,94022,Occupational Certificate: Carpenter,"No 234 Second Avenue, Bredell
Kempton Park Gauteng 1619",744096391,"jaco@aitf.co.za
admin@aitf.co.za",Jaco Fourie,14-Sep-23,13-Sep-28
,Africa International Training Facilities (Pty) Ltd,AC-TTC140923135028,94100,Occupational Certificate: Welder,"No 234 Second Avenue, Bredell
Kempton Park Gauteng 1619",744096391,"jaco@aitf.co.za
admin@aitf.co.za",Jaco Fourie,14-Sep-23,13-Sep-28
,Africa International Training Facilities (Pty) Ltd,07-QCTO/AC-TTC250124114525,93627,Occupational Certificate: Bricklayer,"No 234 Second Avenue, Bredell
Kempton Park Gauteng 1619",744096391,"admin@aitf.co.za
training@aitf.co.za",Jaco Fourie,25-Jan-24,24-Jan-29
,Africa International Training Facilities (Pty) Ltd,07-QCTO/AC-TTC020324173333,93626,"Occupational Certificate: Boilermaker
","234 Second Avenue, Bredell Kempton Park
Gauteng 1619",744093691,training@aitf.co.za,Jaco Fourie,01-Mar-24,28-Feb-29
,"Africa International
Training Facilities","QCTOASC00210429-
2318",91782,"Occupational Certificate:
Plumber","234 Second Avenue –
Bredell Kempton Park",747567346,admin@aitf.co.za,"Belina
Balwa",30-Apr-21,30-Apr-26
,Africa Skills Village (Training and Management Services) (Pty) Ltd,01-QCTO/AC-TTC260523132926,94022,Occupational Certificate: Carpenter,"Ntaka Street, Thembalethu
George Western Cape 6530",044 884 0789,algenee@africaskills.co.za,Gunther Kietman,26-May-23,25-May-28
,Africa Skills Village Training and Management Services (Pty) Ltd,07-QCTO/AC-TTC191022230212,91761,Occupational Certificate: Electrician   ,"2 Regency Drive, Route 21, Corporate Park Centurion Gauteng 0187",066 479 6987,Janet@africaskills.co.za,Janet Genis,19-Oct-22,18-Oct-27
